id, name, latitude, longitude, address, area, city,cost, rating, homedelivery, smoking, alcohol, wifi, valetparking, rooftop  
447,Ottoman Café,19.14214528,72.83255272,"1060, Above Countries Connection, Opp. Mainland China, Near. Infiniti Mall, Off New Link Road,Oshiwara, Andheri West, Mumbai","Oshiwara, Andheri West", Mumbai,800,3.7,no,yes,no,no,yes,no
448,China Bistro,19.2195517,72.9703699,"Vasant Vihar, Thane WestGround Floor, Infinity Shopping Complex,","Vasant Vihar, Thane West", Mumbai,1700,4.2,yes,yes,yes,no,yes,no
449,Lemon Leaf,18.922235,72.832218,"4, Mandlik Road, Behind Taj Mahal Hotel,Colaba, Mumbai",Colaba, Mumbai,1200,4.1,no,yes,yes,no,yes,no
450,Fat Kid Deli,19.0654507,72.9989707,"Unit F2, First Floor, Haware Infotech Park, Sector 30A,Vashi, Navi Mumbai",Vashi, Mumbai,850,3.9,no,no,no,yes,no,no
451,Sardar Refreshments,18.96964641,72.81499129,"TardeoRoad Junction, Opposite Bus Depot, Tardeo, Mumbai",Tardeo, Mumbai,250,3.6,no,no,no,no,no,no
452,Lotus Cafe - JW Marriott Mumbai Juhu,19.10191,72.82647,"JW Marriott,JuhuTara Road, Juhu, Mumbai",Juhu, Mumbai,3500,3.7,no,no,yes,yes,no,no
453,Barbeque Central,19.16457641,72.83510886,"1st Floor, Chandiwala Heritage, Opposite Bangur Nagar, Above Absolute Furniture, Goregaon Link Road,Goregaon West, Mumbai",Goregaon West, Mumbai,1400,4,no,no,no,no,yes,no
454,AKA Bistro,18.9291756,72.8325194,"121, Radha Bhavan, Military Square, Nagindas Master Road, Kala Ghoda,Fort, Mumbai",Fort, Mumbai,1400,4.2,no,no,no,yes,no,no
455,Fort 001,18.933516,72.8336849,"Janmabhoomi Marg,Fort, Mumbai",Fort, Mumbai,1600,4.1,no,no,no,no,no,no
456,McDonald's,18.96805916,72.82452688,"273/275, Bellasis Road, Near City Centre, Jehangir Boman Behram Marg,Mumbai Central, Mumbai",Mumbai Central, Mumbai,500,2.4,yes,no,no,no,no,no
457,Food Adda,19.23306201,72.85235781,"Shop 4, Motimahal Building, Sodawala Len,Borivali West, Mumbai",Borivali West, Mumbai,400,3.6,yes,no,no,no,no,no
458,Shizusan Shophouse & Bar,18.995509,72.825958,"Skyzone, Ground Floor, Near Lifestyle Gate, High Street Phoenix Mall,Lower Parel, Mumbai",Lower Parel, Mumbai,1600,4.2,no,no,yes,no,yes,no
459,Bombay Breeze Cafe,19.13519526,72.82480314,"4 Bungalows6th Floor, Trance Avenue Building, Next to Mhada Telephone Exchange,",4 Bungalows, Mumbai,1400,3.6,no,no,yes,yes,no,yes
460,Plenty,18.931147,72.83406,"3-B, Raja Bahadur Mansion, 24-A Mumbai Samachar Marg,Fort, Mumbai",Fort, Mumbai,1300,4,no,no,no,no,no,no
461,DP's The Fast Food Centre,19.02331762,72.84962196,"Opposite Ruia College, L N road,Matunga East, Mumbai",Matunga East, Mumbai,600,3.7,yes,no,no,no,no,no
462,Crave,19.01298454,72.82581266,"Shivalik Building, Appasaheb Marathe Marg, Adjacent to Tata Motors,Prabhadevi, Mumbai",Prabhadevi, Mumbai,750,3.8,yes,no,no,no,no,no
463,Fooze,19.2274697,72.9704622,"Vasant Vihar, Thane WestShop 21, Block 3, Emerald Plaza, Hiranandani Meadows, GB Road,","Vasant Vihar, Thane West", Mumbai,400,4.7,no,yes,no,yes,no,no
464,Gaylord,18.93304391,72.82628641,"Mayfair Building, VN Road,Churchgate, Mumbai",Churchgate, Mumbai,1700,3.6,yes,no,yes,no,no,no
465,Coppetto Artisan Gelato,19.0597803,72.8335668,"Linking Road, Bandra WestShop 3, Plot 117, Muzzafar Manor,  Waterfield Road,","Linking Road, Bandra West", Mumbai,350,3.9,no,no,no,yes,no,no
466,Jai Hind Lunch Home,19.0022434,72.8296575,"7/8 B, Madhav Bhavan, Opposite Kamala Mills,Lower Parel, Mumbai",Lower Parel, Mumbai,700,4,yes,no,no,no,no,no
